growth_rate_hr,surface_to_volume,volume,fg_protein_per_cell,width,length
0.0,7.572944112118492,0.4078286376505857,102.86501103001515,0.5487547317174284,1.4374368588209727
0.030303030303030304,7.523397620786128,0.42066088780360894,104.9738185651124,0.5553405278078637,1.4818999483605342
0.06060606060606061,7.473851129453765,0.43389690225562394,107.12585818831765,0.561926323898299,1.5263630379000954
0.09090909090909091,7.424304638121402,0.44754938537314454,109.32201618887787,0.5685121199887343,1.5708261274396569
0.12121212121212122,7.374758146789039,0.4616314412631491,111.56319702561406,0.5750979160791696,1.6152892169792181
0.15151515151515152,7.325211655456675,0.4761565863508383,113.8503236994109,0.581683712169605,1.6597523065187796
0.18181818181818182,7.2756651641243115,0.4911387623531488,116.18433813334238,0.5882695082600403,1.7042153960583408
0.21212121212121213,7.226118672791949,0.5065923496604764,118.56620156059059,0.5948553043504756,1.7486784855979023
0.24242424242424243,7.176572181459585,0.5225321811394533,120.99689492031689,0.6014411004409109,1.7931415751374635
0.2727272727272727,7.127025690127222,0.5389735563700254,123.47741926164885,0.6080268965313462,1.8376046646770248
0.30303030303030304,7.077479198794858,0.5559322563304984,126.00879615594914,0.6146126926217815,1.8820677542165862
0.33333333333333337,7.0279327074624955,0.5734245585446446,128.59206811753634,0.6211984887122168,1.9265308437561477
0.36363636363636365,6.978386216130132,0.5914672527054116,131.22829903303074,0.6277842848026521,1.970993933295709
0.3939393939393939,6.928839724797768,0.6100776567902272,133.91857459950202,0.6343700808930874,2.01545702283527
0.42424242424242425,6.879293233465405,0.6292736336833697,136.6640027715994,0.6409558769835229,2.0599201123748316
0.4545454545454546,6.829746742133041,0.6490736083213581,139.46571421784805,0.6475416730739582,2.104383201914393
0.48484848484848486,6.780200250800679,0.6694965853778176,142.3248627863005,0.6541274691643935,2.1488462914539546
0.5151515151515151,6.730653759468315,0.6905621675047983,145.24262597973325,0.6607132652548288,2.1933093809935156
0.5454545454545454,6.681107268135952,0.7122905741480504,148.22020544058606,0.6672990613452641,2.237772470533077
0.5757575757575758,6.631560776803589,0.7347026609543218,151.25882744584266,0.6738848574356994,2.2822355600726385
0.6060606060606061,6.582014285471225,0.7578199397892995,154.3597434120568,0.6804706535261347,2.3266986496122
0.6363636363636364,6.532467794138862,0.7816645993854139,157.52423041073158,0.68705644961657,2.371161739151761
0.6666666666666667,6.482921302806498,0.8062595266393213,160.75359169426474,0.6936422457070053,2.415624828691323
0.696969696969697,6.433374811474135,0.8316283285795081,164.04915723267598,0.7002280417974407,2.460087918230884
0.7272727272727273,6.383828320141772,0.8577953550251005,167.4122842613376,0.7068138378878759,2.504551007770445
0.7575757575757576,6.3342818288094085,0.8847857219576313,170.84435783993405,0.7133996339783113,2.549014097310007
0.7878787878787878,6.284735337477045,0.9126253356281925,174.34679142288067,0.7199854300687466,2.593477186849568
0.8181818181818182,6.235188846144682,0.9413409174231163,177.92102744143625,0.7265712261591819,2.6379402763891293
0.8484848484848485,6.185642354812319,0.97096002951205,181.56853789774937,0.7331570222496172,2.6824033659286908
0.8787878787878788,6.136095863479955,1.0015111013030418,185.29082497108314,0.7397428183400525,2.726866455468252
0.9090909090909092,6.086549372147592,1.033023456730032,189.0894216364681,0.7463286144304878,2.7713295450078137
0.9393939393939394,6.037002880815228,1.0655273423989384,192.96589229603774,0.7529144105209231,2.8157926345473747
0.9696969696969697,5.987456389482865,1.099053956619355,196.92183342330702,0.7595002066113585,2.860255724086936
1.0,5.937909898150502,1.1336354793497248,200.958874220659,0.7660860027017937,2.9047188136264976
1.0303030303030303,5.888363406818138,1.1693051030847346,205.07867729031042,0.7726717987922291,2.9491819031660587
1.0606060606060606,5.838816915485776,1.2060970647145737,209.2829393190326,0.7792575948826643,2.99364499270562
1.0909090909090908,5.789270424153412,1.244046678386639,213.5733917769096,0.7858433909730997,3.0381080822451816
1.1212121212121213,5.7397239328210485,1.2831903694012274,217.95180163042144,0.792429187063535,3.082571171784743
1.1515151515151516,5.690177441488685,1.3235657091737485,222.41997207014595,0.7990149831539703,3.1270342613243045
1.1818181818181819,5.640630950156321,1.3652114512970193,226.97974325337927,0.8056007792444058,3.1714973508638655
1.2121212121212122,5.591084458823959,1.408167568738249,231.6329930619803,0.812186575334841,3.215960440403427
1.2424242424242424,5.541537967491595,1.4524752922064215,236.3816378757518,0.8187723714252764,3.2604235299429885
1.2727272727272727,5.491991476159232,1.498177149726901,241.22763336167614,0.8253581675157116,3.3048866194825495
1.303030303030303,5.442444984826869,1.5453170074612426,246.17297527933113,0.831943963606147,3.349349709022111
1.3333333333333335,5.392898493494505,1.5939401118113925,251.2197003028173,0.8385297596965823,3.3938127985616724
1.3636363636363638,5.343352002162142,1.6440931328486887,256.3698868595355,0.8451155557870176,3.4382758881012334
1.393939393939394,5.293805510829778,1.6958242091093452,261.6256559861597,0.8517013518774529,3.4827389776407953
1.4242424242424243,5.244259019497415,1.749182993799419,266.9891722021584,0.8582871479678882,3.5272020671803563
1.4545454545454546,5.194712528165052,1.8042207024536092,272.462644401223,0.8648729440583235,3.5716651567199174
1.4848484848484849,5.145166036832689,1.8609901620936262,278.0483267609727,0.8714587401487588,3.6161282462594793
1.5151515151515151,5.095619545500325,1.9195458619333239,283.74851967130667,0.8780445362391942,3.6605913357990403
1.5454545454545454,5.046073054167962,1.9799440056792592,289.5655706817901,0.8846303323296294,3.705054425338602
1.5757575757575757,4.996526562835598,2.042242565476875,295.50187546846155,0.8912161284200648,3.749517514878163
1.6060606060606062,4.946980071503235,2.1065013375540924,301.55987882046065,0.8978019245105001,3.793980604417725
1.6363636363636365,4.897433580170872,2.1727819996157196,307.74207564688237,0.9043877206009354,3.838443693957286
1.6666666666666667,4.847887088838508,2.2411481700437585,314.0510120042726,0.9109735166913707,3.882906783496847
1.696969696969697,4.7983405975061455,2.3116654689604457,320.489286145188,0.917559312781806,3.927369873036409
1.7272727272727273,4.748794106173782,2.3844015812126247,327.0595495882522,0.9241451088722413,3.97183296257597
1.7575757575757576,4.699247614841418,2.4594263213379106,333.764508210149,0.9307309049626766,4.016296052115531
1.7878787878787878,4.649701123509056,2.5368117005750035,340.60692336000216,0.9373167010531119,4.060759141655093
1.8181818181818183,4.600154632176691,2.6166319959824715,347.5896129966005,0.9439024971435472,4.105222231194654
1.8484848484848486,4.550608140844329,2.6989638217323333,354.71545284893745,0.9504882932339827,4.149685320734216
1.878787878787879,4.501061649511965,2.7838862026468925,361.98737760054223,0.957074089324418,4.194148410273777
1.9090909090909092,4.4515151581796015,2.8714806500493864,369.40838209809067,0.9636598854148533,4.238611499813338
1.9393939393939394,4.401968666847239,2.9618312400012603,376.9815225847934,0.9702456815052886,4.2830745893529
