strain,overexpression,inducer_conc,carbon_source,replicate,ug_rna_per_biomass
wildtype,none,0,glycerol,1,74.4497084548105
wildtype,none,0,glycerol,2,86.11809214970951
wildtype,none,0,glycerol,3,67.30015606034333
wildtype,none,0,glucose,1,81.71122994652407
wildtype,none,0,glucose,2,89.97445068983137
wildtype,none,0,glucose,3,74.99934683213587
wildtype,none,0,glucoseCAA,1,105.85833591091865
wildtype,none,0,glucoseCAA,2,107.47461793309823
wildtype,none,0,glucoseCAA,3,111.12796741115325
wildtype,none,0,sorbitol,1,58.475531389026195
wildtype,none,0,sorbitol,2,57.13216290883165
wildtype,none,0,sorbitol,3,73.65783306291691
wildtype,none,0,acetate,1,63.326058489742465
wildtype,none,0,acetate,2,61.436464088397784
wildtype,none,0,acetate,3,58.096296296296295
wildtype,none,0,LB,1,155.2737978410206
wildtype,none,0,LB,2,165.7614115841964
wildtype,none,0,LB,3,156.54795553043152
wildtype,relA,0,glucose,1,78.22716049382716
wildtype,relA,0,glucose,2,73.86031088082889
wildtype,relA,0,glucose,3,88.8117994100295
wildtype,meshI,0,,1,80.49666666666667
wildtype,meshI,0,,2,75.94642032332564
wildtype,meshI,0,,3,81.5663747810857
wildtype,meshI,100,,1,124.18235294117646
wildtype,meshI,100,,2,81.92658907788733
wildtype,meshI,100,,3,79.55527559055129
